CONTEXT | Координаты угловых точек лицензионной площади в прямоугольной системе координат
UNCLASSIFIED STRUCTURED COORDINATE EVIDENCE
№ точек | X | Y
1 | 13261341 | 4607777
2 | 13261396 | 4607769
3 | 13261377 | 4607682
4 | 13261309 | 4607598
5 | 13261210 | 4607535
6 | 13260910 | 4607595
7 | 13260622 | 4607433
8 | 13260524 | 4607389
9 | 13260329 | 4607435
10 | 13260230 | 4607434
11 | 13260130 | 4607360
12 | 13260122 | 4607274
13 | 13260210 | 4607138
14 | 13260179 | 4607051
15 | 13260138 | 4606825
16 | 13260221 | 4606734
17 | 13260280 | 4606655
18 | 13260347 | 4606656
19 | 13260431 | 4606628
20 | 13260473 | 4606621
21 | 13260555 | 4606632
22 | 13260903 | 4606600
23 | 13260992 | 4606620
24 | 13261046 | 4606604
25 | 13261115 | 4606518
26 | 13261061 | 4606415
27 | 13261054 | 4606357
28 | 13260995 | 4606267
29 | 13260970 | 4606203
30 | 13260910 | 4606083
31 | 13260929 | 4606029
32 | 13260950 | 4606006
33 | 13261023 | 4606007
34 | 13261040 | 4605899
35 | 13260960 | 4605979
36 | 13260930 | 4605993
37 | 13260920 | 4606004
38 | 13260898 | 4606063
39 | 13260895 | 4606082
40 | 13260906 | 4606118
41 | 13260902 | 4606214
42 | 13261011 | 4606385
43 | 13261027 | 4606454
44 | 13260985 | 4606487
45 | 13260928 | 4606565
46 | 13260603 | 4606586
47 | 13260557 | 4606553
48 | 13260328 | 4606572
49 | 13260266 | 4606605
50 | 13260208 | 4606669
51 | 13260156 | 4606745
52 | 13260117 | 4606830
53 | 13260135 | 4607022
54 | 13260128 | 4607056
55 | 13260128 | 4607138
56 | 13260075 | 4607250
57 | 13260056 | 4607404
58 | 13260237 | 4607495
59 | 13260334 | 4607504
60 | 13260521 | 4607447
61 | 13260608 | 4607479
62 | 13260907 | 4607605
63 | 13261142 | 4607568
64 | 13261253 | 4607628
65 | 13261317 | 4607721
